word	frequency
——————————
lab	7
workers	7
office	6
space	6
city	5
firms	5
centres	4
portal	4
chicago	3
firm	3
labs	3
building	3
flavin	3
property	2
business	2
tech	2
fancy	2
rooms	2
equipment	2
bioreactors	2
life	2
sciences	2
drugs	2
based	2
opened	2
year	2
scientists	2
biosciences	2
universities	2
face	2
power	2
built	2
spaces	2
united	1
commercial	1
science	1
offices	1
retreat	1
initial	1
impressions	1
headquarters	1
innovations	1
resemble	1
main	1
lobby	1
jeans	1
tshirts	1
sip	1
coffees	1
lounge	1
modernist	1
furniture	1
walk	1
place	1
differences	1
apparent	1
cubicles	1
desktop	1
computers	1
surrounding	1
central	1
atrium	1
filled	1
microscopes	1
mass	1
spectrometers	1
correspondent	1
visited	1
late	1
day	1
afternoon	1
numerous	1
evidently	1
working	1
access	1
living	1
wee	1
work	1
adventure	1
capital	1
incubator	1
tenants	1
startup	1
typically	1
develop	1
complex	1
fulton	1
chicago's	1
west	1
loop	1
resembles	1
hotel	1
gyms	1
balconies	1
chan	1
zuckerberg	1
biohub	1
charitable	1
set	1
facebook	1
