word	frequency
——————————
step	29
mountain	10
mail	8
hale	7
kala	7
time	6
question	6
air	6
insurance	6
road	6
vehicle	6
turn	6
small	5
dialogue	4
read	4
send	4
package	4
cost	4
separate	4
high	4
huge	4
volcano	4
national	4
park	4
city	4
kahului	4
homes	4
american	4
plants	4
driver	4
meters	4
place	4
clouds	4
minutes	4
books	3
book	3
seconds	3
chance	3
stores	3
black	3
late	2
kinder	2
shelf	2
afraid	2
sold	2
evening	2
work	2
hear	2
questions	2
options	2
sir	2
china	2
surface	2
form	2
return	2
address	2
depends	2
weight	2
weigh	2
800	2
grams	2
pounds	2
include	2
contents	2
parcel	2
fee	2
pound	2
schooland	2
position	2
color	2
style	2
whitelet	2
green	2
shopping	2
today	2
visit	2
sit	2
drive	2
trip	2
ocean	2
driving	2
55	2
kilometers	2
businesses	2
flowers	2
cities	2
lovely	2
hawaiian	2
islands	2
famous	2
twists	2
turns	2
moves	2
face	2
times	2
slow	2
sharply	2
headquarters	2
2000	2
longer	2
